n_ants,n_iters,alpha,beta,q,rho,qwk_before,qwk_after,qwk_delta
10,10,1,1,1,0.1,0.6382560760496008,0.7555380892299418,0.11728201318034104
20,10,1,1,1,0.1,0.6382560760496008,0.7359635074387832,0.09770743138918248
30,10,1,1,1,0.1,0.6382560760496008,0.7258618970180877,0.0876058209684869
40,10,1,1,1,0.1,0.6382560760496008,0.7159392736915752,0.0776831976419744
50,10,1,1,1,0.1,0.6382560760496008,0.702789939460506,0.06453386341090528
60,10,1,1,1,0.1,0.6382560760496008,0.7414897933335194,0.10323371728391861
70,10,1,1,1,0.1,0.6382560760496008,0.7411250167328298,0.10286894068322905
80,10,1,1,1,0.1,0.6382560760496008,0.7368648346830744,0.09860875863347363
90,10,1,1,1,0.1,0.6382560760496008,0.7313460931111004,0.09309001706149966
100,10,1,1,1,0.1,0.6382560760496008,0.7287817217426238,0.09052564569302302
10,10,1,1,1,0.1,0.6382560760496008,0.7176060316779989,0.07934995562839808
10,20,1,1,1,0.1,0.6382560760496008,0.7493062496641409,0.11105017361454017
10,30,1,1,1,0.1,0.6382560760496008,0.7310911445505184,0.0928350685009176
10,40,1,1,1,0.1,0.6382560760496008,0.7279220308438028,0.08966595479420203
10,50,1,1,1,0.1,0.6382560760496008,0.7115233358199032,0.07326725977030246
10,60,1,1,1,0.1,0.6382560760496008,0.7074086077986521,0.06915253174905134
10,70,1,1,1,0.1,0.6382560760496008,0.7418198722702469,0.10356379622064615
10,80,1,1,1,0.1,0.6382560760496008,0.7370357949925148,0.09877971894291404
10,90,1,1,1,0.1,0.6382560760496008,0.7333150896275914,0.09505901357799063
10,100,1,1,1,0.1,0.6382560760496008,0.6974265282068568,0.059170452157256026
10,10,1,1,1,0.1,0.6382560760496008,0.7244643811576421,0.08620830510804134
10,10,2,1,1,0.1,0.6382560760496008,0.7150431057280373,0.07678702967843654
10,10,3,1,1,0.1,0.6382560760496008,0.6792679450719457,0.04101186902234488
10,10,4,1,1,0.1,0.6382560760496008,0.7162147322091854,0.07795865615958464
10,10,5,1,1,0.1,0.6382560760496008,0.7059634680558998,0.06770739200629905
10,10,1,1,1,0.1,0.6382560760496008,0.720778844233301,0.08252276818370019
10,10,1,2,1,0.1,0.6382560760496008,0.704008494823467,0.06575241877386617
10,10,1,3,1,0.1,0.6382560760496008,0.7078314151260371,0.06957533907643632
10,10,1,4,1,0.1,0.6382560760496008,0.7113002509346034,0.07304417488500259
10,10,1,5,1,0.1,0.6382560760496008,0.7038223764352849,0.06556630038568412
10,10,1,1,1,0.1,0.6382560760496008,0.7115553714860461,0.07329929543644531
10,10,1,1,2,0.1,0.6382560760496008,0.7267728395218207,0.08851676347221993
10,10,1,1,3,0.1,0.6382560760496008,0.7315543235663484,0.09329824751674765
10,10,1,1,4,0.1,0.6382560760496008,0.7175954560988957,0.07933938004929497
10,10,1,1,5,0.1,0.6382560760496008,0.7165272716605497,0.07827119561094897
10,10,1,1,6,0.1,0.6382560760496008,0.7094030880246193,0.07114701197501849
10,10,1,1,7,0.1,0.6382560760496008,0.7210812612183173,0.08282518516871651
10,10,1,1,8,0.1,0.6382560760496008,0.7435792098727713,0.10532313382317049
10,10,1,1,9,0.1,0.6382560760496008,0.7469041080252808,0.10864803197568007
10,10,1,1,10,0.1,0.6382560760496008,0.7272191635480999,0.08896308749849913
10,10,1,1,1,0.1,0.6382560760496008,0.7147709759600768,0.076514899910476
10,10,1,1,1,0.2,0.6382560760496008,0.6701147707508939,0.0318586947012931
10,10,1,1,1,0.3,0.6382560760496008,0.7248162424674998,0.08656016641789899
10,10,1,1,1,0.4,0.6382560760496008,0.715001357095687,0.07674528104608624
10,10,1,1,1,0.5,0.6382560760496008,0.7398475370597581,0.10159146101015737
10,10,1,1,1,0.6,0.6382560760496008,0.7384643577056991,0.1002082816560983
10,10,1,1,1,0.7,0.6382560760496008,0.7339512687560226,0.0956951927064218
10,10,1,1,1,0.8,0.6382560760496008,0.6996227138880957,0.06136663783849494
10,10,1,1,1,0.9,0.6382560760496008,0.7113043886271491,0.07304831257754829
